PrecinctCode,PrecinctName,CountyCouncil,LegislativeDistrict,CongressionalDistrict,SeattleCouncilDistrict
3562,ADAIR,3,45,8,
2381,ALDARRA,3,12,8,
3400,ALDER SPRINGS,3,45,8,
0010,ALDERWOOD,3,45,8,
0013,ALG 30-0013,7,30,9,
0014,ALG 30-0014,7,30,9,
3141,ALG 30-3141,7,30,9,
2383,ALPINE,3,12,8,
2652,AMES LAKE,3,45,8,
0022,ANGEL CITY,2,37,9,
2384,ANGELO,7,30,9,
3763,ANNIE,7,30,9,
3769,AQUA,8,34,7,
3459,ARIA,9,11,9,
0037,ARTHUR,9,5,8,
3641,ASPEN GLEN,3,45,8,
0046,AUB 30-0046,7,30,9,
0050,AUB 30-0050,7,30,9,
0053,AUB 30-0053,7,30,9,
0054,AUB 30-0054,7,30,8,
0067,AUB 30-0067,7,30,9,
0070,AUB 30-0070,7,30,9,
0081,AUB 30-0081,7,30,9,
2702,AUB 30-2702,7,30,9,
2703,AUB 30-2703,7,30,8,
3476,AUB 30-3476,7,30,9,
3812,AUB 30-3812,7,30,9,
0042,AUB 31-0042,7,31,8,
0051,AUB 31-0051,7,31,8,
0058,AUB 31-0058,7,31,8,
0062,AUB 31-0062,7,31,8,
0063,AUB 31-0063,7,31,8,
0064,AUB 31-0064,7,31,8,
0065,AUB 31-0065,7,31,8,
0069,AUB 31-0069,7,31,8,
0080,AUB 31-0080,7,31,8,
0082,AUB 31-0082,7,31,8,
0083,AUB 31-0083,7,31,8,
3299,AUB 31-3299,7,31,8,
3335,AUB 31-3335,7,31,8,
3405,AUB 31-3405,7,31,8,
3800,AUB 31-3800,7,31,8,
0041,AUB 47-0041,7,47,9,
0045,AUB 47-0045,7,47,9,
0047,AUB 47-0047,7,47,9,
0049,AUB 47-0049,7,47,9,
0055,AUB 47-0055,7,47,9,
0059,AUB 47-0059,7,47,9,
0072,AUB 47-0072,7,47,9,
0073,AUB 47-0073,7,47,9,
0074,AUB 47-0074,7,47,9,
0078,AUB 47-0078,7,47,9,
0328,AUB 47-0328,7,47,8,
0671,AUB 47-0671,7,47,8,
1066,AUB 47-1066,7,47,9,
2478,AUB 47-2478,7,47,9,
2551,AUB 47-2551,7,47,9,
2573,AUB 47-2573,7,47,9,
2700,AUB 47-2700,7,47,9,
2701,AUB 47-2701,7,47,9,
2723,AUB 47-2723,7,47,9,
2729,AUB 47-2729,7,47,9,
2839,AUB 47-2839,7,47,9,
3187,AUB 47-3187,7,47,8,
3260,AUB 47-3260,7,47,9,
3276,AUB 47-3276,7,47,8,
3324,AUB 47-3324,7,47,8,
3413,AUB 47-3413,7,47,8,
3455,AUB 47-3455,7,47,9,
3456,AUB 47-3456,7,47,8,
3518,AUB 47-3518,7,47,9,
3538,AUB 47-3538,7,47,9,
3539,AUB 47-3539,7,47,9,
3585,AUB 47-3585,7,47,8,
3591,AUB 47-3591,7,47,9,
3635,AUB 47-3635,7,47,8,
3718,AUB 47-3718,7,47,9,
3765,AUB 47-3765,7,47,8,
3790,AUB 47-3790,7,47,9,
3828,AUB 47-3828,7,47,9,
3830,AUB 47-3830,7,47,9,
3831,AUB 47-3831,7,47,8,
3846,AUB 47-3846,7,47,9,
3848,AUB 47-3848,7,47,8,
3880,AUTUMN,8,34,7,
0089,AVALON,7,30,9,
0091,AVONDALE,3,45,8,
3334,BACUS,3,12,8,
0093,BAKER,8,34,7,
0239,B-D 05-0239,9,5,8,
0240,B-D 05-0240,9,5,8,
2407,B-D 05-2407,9,5,8,
2413,B-D 05-2413,9,5,8,
3310,B-D 05-3310,9,5,8,
3463,B-D 05-3463,9,5,8,
3849,B-D 05-3849,9,5,8,
3976,B-D 05-3976,9,5,8,
0099,BEA 41-0099,6,41,9,
0098,BEAR CREEK,3,48,8,
0011,BEL 41-0011,9,41,9,
0017,BEL 41-0017,9,41,9,
0101,BEL 41-0101,9,41,9,
0102,BEL 41-0102,9,41,9,
0103,BEL 41-0103,9,41,9,
0106,BEL 41-0106,6,41,9,
0108,BEL 41-0108,6,41,9,
0109,BEL 41-0109,6,41,9,
0110,BEL 41-0110,6,41,9,
0111,BEL 41-0111,6,41,9,
0112,BEL 41-0112,9,41,9,
0113,BEL 41-0113,6,41,9,
0114,BEL 41-0114,6,41,9,
0116,BEL 41-0116,6,41,9,
0117,BEL 41-0117,6,41,9,
0119,BEL 41-0119,6,41,9,
0120,BEL 41-0120,6,41,9,
0121,BEL 41-0121,6,41,1,
0122,BEL 41-0122,6,41,9,
0123,BEL 41-0123,9,41,9,
0124,BEL 41-0124,6,41,9,
0129,BEL 41-0129,6,41,9,
0131,BEL 41-0131,6,41,9,
0135,BEL 41-0135,6,41,9,
0136,BEL 41-0136,6,41,9,
0138,BEL 41-0138,6,41,9,
0140,BEL 41-0140,6,41,9,
0142,BEL 41-0142,6,41,9,
0143,BEL 41-0143,6,41,9,
0144,BEL 41-0144,6,41,9,
0146,BEL 41-0146,6,41,9,
0147,BEL 41-0147,6,41,9,
0149,BEL 41-0149,6,41,9,
0151,BEL 41-0151,6,41,9,
0167,BEL 41-0167,6,41,1,
0168,BEL 41-0168,6,41,1,
0169,BEL 41-0169,6,41,1,
0170,BEL 41-0170,6,41,9,
0171,BEL 41-0171,6,41,9,
0175,BEL 41-0175,6,41,9,
0176,BEL 41-0176,6,41,9,
0177,BEL 41-0177,6,41,9,
0180,BEL 41-0180,6,41,9,
0207,BEL 41-0207,6,41,1,
0210,BEL 41-0210,6,41,1,
0305,BEL 41-0305,9,41,9,
0333,BEL 41-0333,9,41,9,
0408,BEL 41-0408,6,41,9,
0460,BEL 41-0460,9,41,9,
0472,BEL 41-0472,9,41,9,
0475,BEL 41-0475,9,41,9,
0505,BEL 41-0505,9,41,9,
0518,BEL 41-0518,9,41,9,
0658,BEL 41-0658,9,41,9,
0694,BEL 41-0694,6,41,9,
0733,BEL 41-0733,9,41,9,
0815,BEL 41-0815,9,41,9,
1023,BEL 41-1023,6,41,9,
1026,BEL 41-1026,9,41,9,
1049,BEL 41-1049,6,41,9,
1052,BEL 41-1052,9,41,9,
1235,BEL 41-1235,9,41,9,
2386,BEL 41-2386,9,41,9,
2412,BEL 41-2412,6,41,9,
2428,BEL 41-2428,6,41,9,
2429,BEL 41-2429,9,41,9,
2447,BEL 41-2447,9,41,9,
2484,BEL 41-2484,9,41,9,
2554,BEL 41-2554,9,41,9,
2556,BEL 41-2556,9,41,9,
2559,BEL 41-2559,6,41,9,
2621,BEL 41-2621,6,41,9,
2714,BEL 41-2714,9,41,9,
2719,BEL 41-2719,9,41,9,
2812,BEL 41-2812,9,41,9,
2906,BEL 41-2906,9,41,9,
2935,BEL 41-2935,9,41,9,
2936,BEL 41-2936,9,41,9,
2943,BEL 41-2943,9,41,9,
2945,BEL 41-2945,9,41,9,
2970,BEL 41-2970,9,41,9,
3144,BEL 41-3144,6,41,9,
3225,BEL 41-3225,9,41,9,
3226,BEL 41-3226,9,41,9,
3278,BEL 41-3278,9,41,9,
3291,BEL 41-3291,9,41,9,
3292,BEL 41-3292,6,41,9,
3312,BEL 41-3312,9,41,9,
3330,BEL 41-3330,6,41,9,
3370,BEL 41-3370,9,41,9,
3371,BEL 41-3371,9,41,9,
3498,BEL 41-3498,6,41,9,
3583,BEL 41-3583,9,41,9,
3621,BEL 41-3621,9,41,9,
3657,BEL 41-3657,9,41,9,
3671,BEL 41-3671,9,41,9,
3680,BEL 41-3680,9,41,9,
3684,BEL 41-3684,9,41,9,
3851,BEL 41-3851,9,41,9,
3861,BEL 41-3861,9,41,9,
0125,BEL 48-0125,6,48,1,
0126,BEL 48-0126,6,48,1,
0127,BEL 48-0127,6,48,9,
0128,BEL 48-0128,6,48,9,
0132,BEL 48-0132,6,48,9,
0133,BEL 48-0133,6,48,9,
0134,BEL 48-0134,6,48,9,
0153,BEL 48-0153,6,48,1,
0154,BEL 48-0154,6,48,1,
0156,BEL 48-0156,6,48,1,
0159,BEL 48-0159,6,48,1,
0160,BEL 48-0160,6,48,1,
0162,BEL 48-0162,6,48,1,
0165,BEL 48-0165,6,48,1,
0166,BEL 48-0166,6,48,1,
0178,BEL 48-0178,6,48,1,
0179,BEL 48-0179,6,48,9,
0186,BEL 48-0186,6,48,1,
0188,BEL 48-0188,6,48,1,
0189,BEL 48-0189,6,48,1,
0190,BEL 48-0190,6,48,1,
0191,BEL 48-0191,6,48,1,
0192,BEL 48-0192,6,48,1,
0193,BEL 48-0193,6,48,1,
0194,BEL 48-0194,6,48,1,
0196,BEL 48-0196,6,48,1,
0198,BEL 48-0198,6,48,1,
0201,BEL 48-0201,6,48,1,
0203,BEL 48-0203,6,48,1,
0205,BEL 48-0205,6,48,1,
0206,BEL 48-0206,6,48,1,
0211,BEL 48-0211,6,48,9,
0212,BEL 48-0212,6,48,1,
0213,BEL 48-0213,6,48,1,
0216,BEL 48-0216,6,48,1,
0217,BEL 48-0217,6,48,1,
0218,BEL 48-0218,6,48,1,
0219,BEL 48-0219,6,48,9,
0220,BEL 48-0220,6,48,9,
0221,BEL 48-0221,6,48,1,
0223,BEL 48-0223,6,48,1,
0224,BEL 48-0224,6,48,1,
0225,BEL 48-0225,6,48,1,
0226,BEL 48-0226,6,48,1,
0227,BEL 48-0227,6,48,1,
2430,BEL 48-2430,6,48,9,
2432,BEL 48-2432,6,48,1,
2434,BEL 48-2434,6,48,1,
2715,BEL 48-2715,6,48,1,
2716,BEL 48-2716,6,48,1,
2772,BEL 48-2772,6,48,1,
2773,BEL 48-2773,6,48,1,
2774,BEL 48-2774,6,48,1,
2775,BEL 48-2775,6,48,1,
2776,BEL 48-2776,6,48,1,
2782,BEL 48-2782,6,48,9,
3140,BEL 48-3140,6,48,9,
3143,BEL 48-3143,6,48,1,
3166,BEL 48-3166,6,48,1,
3593,BEL 48-3593,6,48,1,
3608,BEL 48-3608,6,48,1,
3658,BEL 48-3658,6,48,1,
3674,BEL 48-3674,6,48,1,
3675,BEL 48-3675,6,48,1,
3695,BEL 48-3695,6,48,1,
3759,BEL 48-3759,6,48,1,
3761,BEL 48-3761,6,48,1,
3827,BEL 48-3827,6,48,1,
3878,BEL 48-3878,6,48,1,
3984,BEND,3,12,8,
3891,BENNETT,2,37,9,
3989,BERGEN,9,5,8,
0231,BERNICE,8,34,7,
3304,BERRYDALE,9,47,8,
0233,BETTY,2,37,9,
2653,BIG BEND,3,45,8,
3707,BIG LEAF,3,45,8,
0236,BILOXI,8,34,7,
3576,BINGAMAN,7,30,9,
3294,BITTERROOT,9,5,8,
3489,BLACK RIVER,2,37,9,
0252,BOT 01-0252,1,1,1,
0253,BOT 01-0253,1,1,1,
0254,BOT 01-0254,1,1,1,
0255,BOT 01-0255,1,1,1,
0256,BOT 01-0256,1,1,1,
0257,BOT 01-0257,1,1,1,
0258,BOT 01-0258,1,1,1,
0259,BOT 01-0259,1,1,1,
0260,BOT 01-0260,1,1,1,
0261,BOT 01-0261,1,1,1,
0262,BOT 01-0262,1,1,1,
0868,BOT 01-0868,1,1,1,
1207,BOT 01-1207,1,1,1,
1224,BOT 01-1224,1,1,1,
2473,BOT 01-2473,1,1,1,
2495,BOT 01-2495,1,1,1,
2676,BOT 01-2676,3,1,1,
2677,BOT 01-2677,1,1,1,
2865,BOT 01-2865,1,1,1,
3195,BOT 01-3195,1,1,1,
3271,BOT 01-3271,1,1,1,
3321,BOT 01-3321,1,1,1,
3398,BOT 01-3398,1,1,1,
3420,BOT 01-3420,1,1,1,
3620,BOT 01-3620,1,1,1,
3661,BOT 01-3661,1,1,1,
3724,BOT 01-3724,1,1,1,
3726,BOT 01-3726,3,1,1,
